iter	RMSE
0	0.9719641971
1	0.948835761
2	0.9232222092
3	0.9002167626
4	0.8756698643
5	0.8533127937
6	0.8341256834
7	0.8134741391
8	0.7962040663
9	0.7755477296
10	0.75766051
11	0.7407909634
12	0.7246529606
13	0.7067454774
14	0.6917639254
15	0.6755955356
16	0.6603880624
17	0.6464331918
18	0.631971296
19	0.6211198828
20	0.6091947051
21	0.5973523864
22	0.5846951795
23	0.5718524968
24	0.5599342037
25	0.5492577555
26	0.5400635739
27	0.5298017644
28	0.5201641176
29	0.5108481219
30	0.5010755965
31	0.4919439371
32	0.4831087825
33	0.4756076917
34	0.4674098533
35	0.4596680946
36	0.4526665728
37	0.4459692966
38	0.4397626757
39	0.4331375484
40	0.4275302554
41	0.4213181076
42	0.4164899196
43	0.4109692905
44	0.406187593
45	0.4009818531
46	0.3958181377
47	0.3900521392
48	0.3856696972
49	0.3814256451
50	0.3765740034
51	0.3727845506
52	0.3686367263
53	0.3650124516
54	0.3614601601
55	0.3575646322
56	0.3547834093
57	0.3519398225
58	0.3488984874
59	0.345818946
60	0.3430783537
61	0.3403923358
62	0.3377716123
63	0.3351312168
64	0.3325436672
65	0.3294930862
66	0.3265278278
67	0.3242203249
68	0.3216664759
69	0.3194361976
70	0.3173538204
71	0.3153534622
72	0.313355481
73	0.3111970226
74	0.3091705223
75	0.3074249601
76	0.3058099135
77	0.3039652476
78	0.3025342282
79	0.3008713217
80	0.2990821431
81	0.2974827125
82	0.2959608744
83	0.294839064
84	0.2935933373
85	0.2925348905
86	0.2912719463
87	0.2897428451
88	0.2885486702
89	0.2870413292
90	0.2856341615
91	0.2847674245
92	0.2836795824
93	0.2821894033
94	0.2809783429
95	0.2800932545
96	0.2788226781
97	0.2781357971
98	0.2767904821
99	0.2757557412
100	0.2749225672
101	0.2740689087
102	0.27326984
103	0.2721418542
104	0.2714263878
105	0.2704173143
106	0.269137483
107	0.2683557991
108	0.2675761579
109	0.2669225091
110	0.2663350448
111	0.2656940274
112	0.2651061777
113	0.2640541771
114	0.2632090484
115	0.2625530958
116	0.261927751
117	0.2609994031
118	0.2602587434
119	0.2594513606
120	0.2586885556
121	0.2579997873
122	0.2572786558
123	0.256458544
124	0.2557542027
125	0.2551502801
126	0.2547619194
127	0.2543615136
128	0.2537098875
129	0.2531262884
130	0.2524113365
131	0.2518197625
132	0.2511452958
133	0.2503036561
134	0.2498451542
135	0.2493932173
136	0.2488878124
137	0.2484021105
138	0.2477916495
139	0.2473814792
140	0.2467647162
141	0.2462689665
142	0.2457188684
143	0.2451392814
144	0.2445550624
145	0.2442234795
146	0.2436867319
147	0.243151261
148	0.2425971095
149	0.2422672603
150	0.2417170786
151	0.2413222834
152	0.2404958996
153	0.2397565991
154	0.2392716895
155	0.2388422871
156	0.2383102644
157	0.2374704387
158	0.2372958273
159	0.2365167123
160	0.2361341305
161	0.2357937537
162	0.2352558142
163	0.2348135237
164	0.2341960193
165	0.2338846885
166	0.2334206003
167	0.2331771227
168	0.2328633379
169	0.2324804041
170	0.2319805857
171	0.2315620644
172	0.2313137993
173	0.2309152942
174	0.2302812365
175	0.2295368435
176	0.2292288793
177	0.228727002
178	0.2281581648
179	0.2277364973
180	0.2275611387
181	0.2272472282
182	0.2268206193
183	0.2265982495
184	0.2261081801
185	0.2256009508
186	0.2251408065
187	0.2248627494
188	0.2245025827
189	0.2242431182
190	0.2238059199
191	0.2233795195
192	0.2232755318
193	0.2228243938
194	0.2226271348
195	0.2219012364
196	0.2214830385
197	0.2211118536
198	0.2206594086
199	0.220390685
200	0.2202406722
201	0.2195779948
202	0.2190924181
203	0.2185565144
204	0.2182173931
205	0.2177464903
206	0.217415221
207	0.2168135085
208	0.2165924135
209	0.2161329839
210	0.2158305648
211	0.2152369203
212	0.2150008839
213	0.2144138959
214	0.2140169812
215	0.213241004
216	0.2128626845
217	0.2125550276
218	0.2122769281
219	0.2119451479
220	0.2116333674
221	0.2112526745
222	0.210945994
223	0.2105876235
224	0.2102357273
225	0.2097811707
226	0.2093794934
227	0.2089007311
228	0.2084001535
229	0.2082460123
230	0.2078546191
231	0.207437224
232	0.2070454046
233	0.2066641577
234	0.2062820375
235	0.2056535433
236	0.2052135464
237	0.204748758
238	0.2042357706
239	0.2039851698
240	0.203605123
241	0.203249695
242	0.2030940235
243	0.2028656564
244	0.2026568537
245	0.2021832506
246	0.2018370316
247	0.2017266086
248	0.201300191
249	0.2008280315
250	0.2003857392
251	0.2000046413
252	0.1998759502
253	0.1994783581
254	0.1990320259
255	0.1987412485
256	0.1982943436
257	0.1978437128
258	0.197385203
259	0.196833336
260	0.1966000063
261	0.1963191751
262	0.1959979206
263	0.1955856866
264	0.1950368914
265	0.1946435694
266	0.1944579361
267	0.1941215787
268	0.1938402371
269	0.1934917831
270	0.1932887824
271	0.1929667222
272	0.1926965445
273	0.1922687278
274	0.1920940622
275	0.1917938252
276	0.191562765
277	0.1911231948
278	0.191045294
279	0.1908115052
280	0.1907308046
281	0.1903722318
282	0.190261312
283	0.1899327474
284	0.1897005926
285	0.1893234103
286	0.1888869927
287	0.1885208154
288	0.1882465557
289	0.1878368918
290	0.1872185508
291	0.1871044817
292	0.1867875439
293	0.1865370991
294	0.186131388
295	0.1860009065
296	0.1856669194
297	0.1853713284
298	0.184931656
299	0.1847876169
300	0.1846620628
301	0.1842404042
302	0.1840304805
303	0.1835525331
304	0.183499253
305	0.1831371271
306	0.182637155
307	0.1822834532
308	0.1822256086
309	0.1820264122
310	0.1818898579
311	0.1818219842
312	0.1814562883
313	0.1812853234
314	0.1808787103
315	0.1805044069
316	0.1803761901
317	0.1801559061
318	0.1797399306
319	0.1790606268
320	0.1788791569
321	0.178632055
322	0.1782604679
323	0.1780042784
324	0.1778120126
325	0.1774690783
326	0.1771348259
327	0.1767682346
328	0.1765329219
329	0.176119677
330	0.1756754882
331	0.175498354
332	0.1751085384
333	0.1748224414
334	0.174754855
335	0.174695136
336	0.1744432734
337	0.174099695
338	0.1735159032
339	0.1731977868
340	0.173145466
341	0.1729151193
342	0.172492509
343	0.1723308472
344	0.1722203688
345	0.1717041123
346	0.1715091755
347	0.1710233091
348	0.1707405919
349	0.1705092097
350	0.1702382834
351	0.1699716513
352	0.1697688511
353	0.1695780497
354	0.1694159129
355	0.1689486212
356	0.1686225414
357	0.168547681
358	0.1682019455
359	0.1681525359
360	0.1678152871
361	0.167589758
362	0.1673222359
363	0.1672828284
364	0.1669181292
365	0.1666275843
366	0.1663929146
367	0.1660711745
368	0.1658680363
369	0.1658329393
370	0.1656772823
371	0.1655412316
372	0.165255259
373	0.1651144638
374	0.1646561424
375	0.1644459341
376	0.1641977276
377	0.1639870508
378	0.1639394223
379	0.1635263816
380	0.163246557
381	0.1631182386
382	0.1628144263
383	0.1624582213
384	0.1624190529
385	0.1621019103
386	0.1616118581
387	0.1613214185
388	0.1610561356
389	0.1609642157
390	0.1606643493
391	0.1603590659
392	0.1600160391
393	0.1597459825
394	0.1595113079
395	0.1594614655
396	0.1591685883
397	0.1589101274
398	0.1586924986
399	0.1586418925
400	0.1584274162
401	0.1580120088
402	0.1577755703
403	0.1575845395
404	0.1573463434
405	0.1570934401
406	0.1568166133
407	0.1565045378
408	0.1562572546
409	0.1561508849
410	0.1558384674
411	0.1555913003
412	0.1552616696
413	0.1552299547
414	0.1548880589
415	0.1546199361
416	0.1543698878
417	0.1541230927
418	0.1537172165
419	0.1534370774
420	0.1532973281
421	0.1531007613
422	0.1530716992
423	0.1528004846
424	0.1525601814
425	0.1523255451
426	0.1519894429
427	0.1517554132
428	0.1517164909
429	0.1514921681
430	0.1511238761
431	0.1509143599
432	0.1506655658
433	0.1503831688
434	0.1501422029
435	0.1498228357
436	0.1495441232
437	0.1492534784
438	0.1490630527
439	0.1487994022
440	0.1485480454
441	0.1483063792
442	0.1481683976
443	0.1480566916
444	0.1477798017
445	0.1476179045
446	0.1472985802
447	0.14716787
448	0.146868107
449	0.1466748818
450	0.1463855087
451	0.1463489071
452	0.1461025292
453	0.1457599339
454	0.1455673095
455	0.1454301395
456	0.1450460669
457	0.1450175689
458	0.1445070758
459	0.1444403445
460	0.1443227625
461	0.1439009291
462	0.1438643821
463	0.1436393269
464	0.1434328215
465	0.1430994264
466	0.1429040042
467	0.1426457318
468	0.1426145775
469	0.1423726283
470	0.1421142027
471	0.1420043405
472	0.1418775983
473	0.1416790858
474	0.1413258066
475	0.1411037679
476	0.1409224086
477	0.1405485464
478	0.1402991901
479	0.1400040432
480	0.1397782144
481	0.1394950378
482	0.1394365413
483	0.1393609473
484	0.1390997343
485	0.1388408718
486	0.1386080555
487	0.1384594715
488	0.1382476833
489	0.1379448185
490	0.1376597678
491	0.1373370427
492	0.1371295817
493	0.13692284
494	0.1366842887
495	0.1364701842
496	0.1364485625
497	0.1362381433
498	0.1359772307
499	0.1356996874
500	0.1355636601
501	0.1355293708
502	0.1352784966
503	0.1351035416
504	0.1349895483
505	0.1348771279
506	0.1348533645
507	0.1343953384
508	0.1340406647
509	0.1338556606
510	0.1337117045
511	0.1335214759
512	0.133406467
513	0.1331309035
514	0.1328702664
515	0.1326777293
516	0.1324157113
517	0.1320506786
518	0.1318251421
519	0.1315489588
520	0.1312073773
521	0.130987868
522	0.1308498667
523	0.1306187642
524	0.1305717024
525	0.130339827
526	0.1301569832
527	0.129890994
528	0.1297620319
529	0.1295073512
530	0.1292583572
531	0.1290036512
532	0.1287265347
533	0.1284988188
534	0.1282865288
535	0.1280362232
536	0.1278775737
537	0.1275509635
538	0.127413231
539	0.1271779913
540	0.1269276727
541	0.1267171481
542	0.1264731319
543	0.1260769087
544	0.1258175415
545	0.1256148078
546	0.1254430019
547	0.1253401232
548	0.125202134
549	0.1250694674
550	0.1250444683
551	0.1248800415
552	0.1248586091
553	0.1246833614
554	0.1245766123
555	0.1243103337
556	0.1242917435
557	0.1242781293
558	0.123987244
559	0.1239690962
560	0.1236823438
561	0.123466745
562	0.1232033778
563	0.1229947647
564	0.1228041085
565	0.1224799374
566	0.1221219497
567	0.1218626981
568	0.1216162755
569	0.1215981569
570	0.1214300152
571	0.1210984407
572	0.1208650502
573	0.1207088932
574	0.1205014681
575	0.120431414
576	0.1202227499
577	0.1200572812
578	0.1198805861
579	0.1196081243
580	0.1192931585
581	0.1191165825
582	0.1189673621
583	0.1186754239
584	0.1184170913
585	0.1182041987
586	0.1180084096
587	0.1177436459
588	0.1175081014
589	0.1171482814
590	0.1170047123
591	0.1167550284
592	0.1164980053
593	0.1163326154
594	0.1160206415
595	0.1157887425
596	0.1155964209
597	0.1154352997
598	0.1151649925
599	0.1149637475
600	0.1147391273
601	0.1147093223
602	0.1144554748
603	0.1142642629
604	0.1141139978
605	0.1137344523
606	0.1136212794
607	0.113418201
608	0.1132896133
609	0.1130239406
610	0.1128500435
611	0.1127619276
612	0.1125494041
613	0.1122459696
614	0.1122336073
615	0.1120194587
616	0.1117757071
617	0.1115595636
618	0.1113340665
619	0.1112026264
620	0.1109988457
621	0.1108675674
622	0.110663325
623	0.1104773671
624	0.1103857923
625	0.1102024119
626	0.1100021889
627	0.1097954647
628	0.1097712613
629	0.1096181271
630	0.1093868623
631	0.109229385
632	0.1090689368
633	0.1089021417
634	0.1087172831
635	0.1087003741
636	0.1085875796
637	0.1083933122
638	0.1081565806
639	0.1080481449
640	0.1080046606
641	0.1078789219
642	0.1077081095
643	0.1075144709
644	0.1073074798
645	0.1069976354
646	0.1068519589
647	0.1066265162
648	0.1064259232
649	0.106201569
650	0.1060608058
651	0.1058890475
652	0.1057353156
653	0.1055736529
654	0.1054736562
655	0.1053231999
656	0.1051726158
657	0.1049748284
658	0.1048514802
659	0.1046059502
660	0.1044282257
661	0.1041902653
662	0.103950825
663	0.1037423186
664	0.103631132
665	0.1034458321
666	0.1032260596
667	0.1030559612
668	0.1029199586
669	0.1027594954
670	0.1025290821
671	0.102375079
672	0.1022401498
673	0.1020820854
674	0.1019918551
675	0.1018272846
676	0.1016595494
677	0.1015548343
678	0.1012942903
679	0.1011015252
680	0.1009187943
681	0.1009074043
682	0.1008097328
683	0.1006319511
684	0.1005806726
685	0.1004325685
686	0.1003222504
687	0.1001368444
688	0.09997483
689	0.09980367675
690	0.09955120789
691	0.09942659112
692	0.09932951004
693	0.09920511416
694	0.09914727779
695	0.09897341064
696	0.09873587511
697	0.09871501141
698	0.09859408514
699	0.09848552589
700	0.09844026984
701	0.0982758871
702	0.09816287308
703	0.09801407825
704	0.09777907551
705	0.09767504996
706	0.09749995342
707	0.09735753898
708	0.09726471077
709	0.09712246146
710	0.09692484849
711	0.09684474989
712	0.0966107841
713	0.09643876313
714	0.09620328521
715	0.09597055732
716	0.09578824714
717	0.09562453351
718	0.09547553869
719	0.0953023359
720	0.09514469127
721	0.09495912996
722	0.09492979241
723	0.09476939908
724	0.09461570879
725	0.09445211881
726	0.09427813645
727	0.09425695682
728	0.09412845027
729	0.09395301499
730	0.09381459053
731	0.09371445254
732	0.09357500867
733	0.09342709254
734	0.09330103789
735	0.09309739306
