iter	Passed	Remaining
0	145	174121
1	151	90585
2	157	63014
3	163	48871
4	169	40428
5	175	34989
6	178	30441
7	184	27447
8	187	24844
9	193	23074
10	200	21633
11	206	20462
12	212	19427
13	219	18571
14	225	17843
15	231	17146
16	237	16534
17	243	15980
18	249	15525
19	255	15084
20	261	14672
21	266	14268
22	272	13964
23	278	13648
24	285	13395
25	291	13142
26	297	12922
27	303	12689
28	310	12520
29	316	12347
30	323	12181
31	328	11984
32	347	12290
33	353	12123
34	360	12007
35	366	11849
36	372	11722
37	375	11492
38	381	11366
39	387	11251
40	393	11134
41	399	11019
42	405	10916
43	411	10823
44	418	10740
45	424	10656
46	430	10564
47	436	10483
48	441	10382
49	447	10303
50	453	10206
51	459	10133
52	464	10061
53	471	9995
54	477	9932
55	482	9863
56	489	9817
57	495	9757
58	502	9723
59	510	9707
60	517	9668
61	524	9619
62	532	9610
63	539	9571
64	545	9522
65	551	9479
66	557	9433
67	563	9387
68	570	9354
69	577	9326
70	584	9301
71	592	9277
72	599	9253
73	606	9234
74	613	9207
75	621	9184
76	627	9154
77	634	9120
78	639	9080
79	645	9038
80	651	8999
81	657	8963
82	663	8932
83	669	8890
84	675	8856
85	681	8824
86	687	8796
87	693	8768
88	700	8740
89	705	8706
90	711	8669
91	717	8642
92	723	8608
93	729	8580
94	734	8544
95	740	8514
96	746	8486
97	751	8454
98	757	8423
99	763	8395
100	768	8366
101	774	8339
102	781	8320
103	787	8298
104	793	8277
105	799	8250
106	806	8234
107	811	8207
108	817	8187
109	823	8161
110	829	8138
111	835	8116
112	841	8096
113	847	8073
114	853	8049
115	858	8026
116	865	8010
117	871	7993
118	878	7979
119	884	7962
120	890	7938
121	896	7918
122	902	7901
123	908	7883
124	914	7865
125	920	7848
126	930	7863
127	936	7846
128	942	7828
129	948	7808
130	954	7791
131	960	7773
132	967	7761
133	973	7745
134	980	7731
135	986	7719
136	992	7704
137	998	7687
138	1005	7675
139	1011	7662
140	1018	7651
141	1025	7638
142	1033	7638
143	1040	7630
144	1054	7669
145	1060	7658
146	1067	7648
147	1075	7641
148	1082	7637
149	1089	7627
150	1096	7616
151	1102	7602
152	1109	7592
153	1116	7580
154	1122	7570
155	1129	7559
156	1141	7582
157	1148	7575
158	1155	7563
159	1161	7547
160	1166	7531
161	1173	7519
162	1181	7513
163	1187	7504
164	1194	7491
165	1200	7476
166	1206	7463
167	1212	7447
168	1218	7431
169	1224	7419
170	1230	7404
171	1236	7388
172	1241	7372
173	1248	7359
174	1254	7345
175	1260	7333
176	1265	7316
177	1272	7307
178	1278	7294
179	1285	7284
180	1291	7273
181	1298	7260
182	1303	7245
183	1309	7231
184	1315	7218
185	1322	7207
186	1328	7195
187	1335	7186
188	1340	7172
189	1347	7162
190	1352	7146
191	1358	7134
192	1367	7137
193	1374	7127
194	1380	7115
195	1387	7105
196	1392	7089
197	1398	7077
198	1405	7069
199	1411	7059
200	1417	7045
201	1424	7035
202	1430	7023
203	1436	7012
204	1442	6999
205	1448	6990
206	1454	6979
207	1461	6970
208	1467	6958
209	1473	6945
210	1479	6935
211	1486	6925
212	1492	6914
213	1498	6902
214	1504	6890
215	1510	6881
216	1516	6869
217	1523	6863
218	1530	6854
219	1536	6843
220	1542	6831
221	1548	6819
222	1554	6811
223	1560	6801
224	1567	6792
225	1573	6781
226	1580	6774
227	1586	6764
228	1592	6753
229	1598	6742
230	1604	6731
231	1610	6720
232	1616	6708
233	1622	6698
234	1629	6689
235	1635	6682
236	1642	6673
237	1648	6662
238	1654	6652
239	1660	6641
240	1666	6631
241	1672	6620
242	1678	6611
243	1685	6602
244	1691	6593
245	1697	6582
246	1703	6574
247	1709	6562
248	1715	6550
249	1721	6540
250	1727	6531
251	1733	6519
252	1742	6522
253	1748	6512
254	1755	6503
255	1761	6493
256	1767	6484
257	1773	6474
258	1779	6464
259	1785	6454
260	1791	6446
261	1798	6439
262	1804	6429
263	1810	6420
264	1816	6409
265	1822	6398
266	1828	6390
267	1834	6379
268	1840	6369
269	1845	6358
270	1852	6349
271	1858	6339
272	1864	6329
273	1870	6320
274	1876	6310
275	1882	6303
276	1889	6294
277	1894	6284
278	1901	6275
279	1907	6267
280	1913	6257
281	1919	6249
282	1925	6239
283	1932	6232
284	1938	6222
285	1943	6212
286	1949	6201
287	1955	6191
288	1960	6180
289	1967	6173
290	1973	6164
291	1979	6156
292	1986	6147
293	1992	6139
294	1998	6130
295	2004	6121
296	2010	6112
297	2016	6104
298	2022	6095
299	2028	6084
300	2034	6076
301	2040	6068
302	2046	6057
303	2052	6048
304	2057	6038
305	2064	6032
306	2071	6025
307	2077	6016
308	2083	6006
309	2089	5998
310	2095	5989
311	2101	5980
312	2107	5972
313	2118	5977
314	2124	5969
315	2131	5961
316	2137	5954
317	2143	5946
318	2150	5938
319	2156	5929
320	2162	5921
321	2168	5913
322	2175	5907
323	2181	5899
324	2188	5891
325	2195	5885
326	2201	5876
327	2207	5868
328	2213	5860
329	2219	5851
330	2225	5842
331	2230	5832
332	2237	5826
333	2244	5819
334	2250	5810
335	2256	5803
336	2262	5793
337	2268	5785
338	2275	5778
339	2282	5772
340	2288	5764
341	2295	5758
342	2303	5754
343	2309	5747
344	2315	5738
345	2322	5731
346	2328	5724
347	2334	5716
348	2340	5708
349	2347	5700
350	2353	5692
351	2359	5684
352	2366	5678
353	2373	5671
354	2379	5663
355	2385	5656
356	2391	5647
357	2397	5639
358	2403	5630
359	2409	5621
360	2415	5612
361	2420	5604
362	2426	5595
363	2433	5587
364	2439	5579
365	2445	5572
366	2451	5564
367	2457	5556
368	2464	5549
369	2469	5540
370	2475	5532
371	2481	5523
372	2487	5514
373	2508	5539
374	2514	5531
375	2522	5528
376	2529	5521
377	2536	5514
378	2541	5506
379	2548	5498
380	2553	5489
381	2560	5482
382	2566	5475
383	2573	5468
384	2579	5459
385	2585	5453
386	2592	5446
387	2598	5437
388	2604	5430
389	2610	5422
390	2616	5414
391	2623	5407
392	2629	5400
393	2636	5393
394	2642	5384
395	2649	5378
396	2655	5371
397	2661	5363
398	2668	5356
399	2674	5349
400	2680	5341
401	2686	5333
402	2693	5326
403	2699	5319
404	2705	5311
405	2712	5304
406	2717	5295
407	2724	5287
408	2729	5279
409	2735	5270
410	2741	5263
411	2748	5255
412	2754	5248
413	2759	5239
414	2766	5232
415	2772	5224
416	2778	5217
417	2783	5207
418	2789	5200
419	2795	5192
420	2802	5185
421	2807	5176
422	2813	5167
423	2818	5159
424	2824	5151
425	2831	5143
426	2837	5135
427	2843	5128
